,_id,dezenas,premiacoes
33,"{'loteria': 'super-sete', 'concurso': 34}","['4', '1', '0', '5', '2', '3', '6']","[{'acertos': '7 Pontos', 'vencedores': 0, 'premio': '-'}, {'acertos': '6 Pontos', 'vencedores': 3, 'premio': '13.258,28'}, {'acertos': '5 Pontos', 'vencedores': 68, 'premio': '835,60'}, {'acertos': '4 Pontos', 'vencedores': 1056, 'premio': '53,80'}, {'acertos': '3 Pontos', 'vencedores': 8363, 'premio': '5,00'}]"
34,"{'loteria': 'super-sete', 'concurso': 35}","['4', '4', '7', '6', '0', '4', '2']","[{'acertos': '7 Pontos', 'vencedores': 0, 'premio': '-'}, {'acertos': '6 Pontos', 'vencedores': 2, 'premio': '14.981,64'}, {'acertos': '5 Pontos', 'vencedores': 41, 'premio': '1.044,01'}, {'acertos': '4 Pontos', 'vencedores': 623, 'premio': '68,70'}, {'acertos': '3 Pontos', 'vencedores': 6230, 'premio': '5,00'}]"
35,"{'loteria': 'super-sete', 'concurso': 36}","['9', '5', '1', '6', '0', '8', '1']","[{'acertos': '7 Pontos', 'vencedores': 0, 'premio': '-'}, {'acertos': '6 Pontos', 'vencedores': 4, 'premio': '7.120,45'}, {'acertos': '5 Pontos', 'vencedores': 33, 'premio': '1.232,97'}, {'acertos': '4 Pontos', 'vencedores': 556, 'premio': '73,18'}, {'acertos': '3 Pontos', 'vencedores': 5433, 'premio': '5,00'}]"
36,"{'loteria': 'super-sete', 'concurso': 37}","['0', '7', '8', '3', '6', '2', '4']","[{'acertos': '7 Pontos', 'vencedores': 0, 'premio': '-'}, {'acertos': '6 Pontos', 'vencedores': 3, 'premio': '12.352,75'}, {'acertos': '5 Pontos', 'vencedores': 46, 'premio': '1.150,87'}, {'acertos': '4 Pontos', 'vencedores': 794, 'premio': '66,67'}, {'acertos': '3 Pontos', 'vencedores': 7820, 'premio': '5,00'}]"
37,"{'loteria': 'super-sete', 'concurso': 38}","['9', '2', '2', '6', '2', '5', '5']","[{'acertos': '7 Pontos', 'vencedores': 0, 'premio': '-'}, {'acertos': '6 Pontos', 'vencedores': 0, 'premio': '0,00'}, {'acertos': '5 Pontos', 'vencedores': 53, 'premio': '1.103,68'}, {'acertos': '4 Pontos', 'vencedores': 890, 'premio': '65,72'}, {'acertos': '3 Pontos', 'vencedores': 9075, 'premio': '5,00'}]"
38,"{'loteria': 'super-sete', 'concurso': 39}","['9', '1', '2', '7', '6', '8', '5']","[{'acertos': '7 Pontos', 'vencedores': 0, 'premio': '-'}, {'acertos': '6 Pontos', 'vencedores': 2, 'premio': '21.311,67'}, {'acertos': '5 Pontos', 'vencedores': 48, 'premio': '1.268,55'}, {'acertos': '4 Pontos', 'vencedores': 965, 'premio': '63,09'}, {'acertos': '3 Pontos', 'vencedores': 9559, 'premio': '5,00'}]"
39,"{'loteria': 'super-sete', 'concurso': 40}","['1', '1', '9', '0', '4', '4', '4']","[{'acertos': '7 Pontos', 'vencedores': 1, 'premio': '1.186.424,47'}, {'acertos': '6 Pontos', 'vencedores': 10, 'premio': '4.361,21'}, {'acertos': '5 Pontos', 'vencedores': 96, 'premio': '648,99'}, {'acertos': '4 Pontos', 'vencedores': 1116, 'premio': '55,82'}, {'acertos': '3 Pontos', 'vencedores': 9610, 'premio': '5,00'}]"
40,"{'loteria': 'super-sete', 'concurso': 41}","['3', '3', '7', '5', '0', '2', '1']","[{'acertos': '7 Pontos', 'vencedores': 1, 'premio': '124.747,77'}, {'acertos': '6 Pontos', 'vencedores': 3, 'premio': '11.340,54'}, {'acertos': '5 Pontos', 'vencedores': 55, 'premio': '883,67'}, {'acertos': '4 Pontos', 'vencedores': 883, 'premio': '55,04'}, {'acertos': '3 Pontos', 'vencedores': 7721, 'premio': '5,00'}]"
41,"{'loteria': 'super-sete', 'concurso': 42}","['5', '8', '4', '3', '5', '1', '7']","[{'acertos': '7 Pontos', 'vencedores': 0, 'premio': '-'}, {'acertos': '6 Pontos', 'vencedores': 1, 'premio': '33.215,21'}, {'acertos': '5 Pontos', 'vencedores': 59, 'premio': '804,24'}, {'acertos': '4 Pontos', 'vencedores': 713, 'premio': '66,55'}, {'acertos': '3 Pontos', 'vencedores': 7305, 'premio': '5,00'}]"
42,"{'loteria': 'super-sete', 'concurso': 43}","['8', '1', '4', '4', '6', '4', '7']","[{'acertos': '7 Pontos', 'vencedores': 0, 'premio': '-'}, {'acertos': '6 Pontos', 'vencedores': 2, 'premio': '17.442,47'}, {'acertos': '5 Pontos', 'vencedores': 51, 'premio': '977,16'}, {'acertos': '4 Pontos', 'vencedores': 879, 'premio': '56,69'}, {'acertos': '3 Pontos', 'vencedores': 7795, 'premio': '5,00'}]"
43,"{'loteria': 'super-sete', 'concurso': 44}","['3', '5', '9', '8', '2', '5', '3']","[{'acertos': '7 Pontos', 'vencedores': 1, 'premio': '377.245,52'}, {'acertos': '6 Pontos', 'vencedores': 4, 'premio': '8.695,70'}, {'acertos': '5 Pontos', 'vencedores': 54, 'premio': '920,17'}, {'acertos': '4 Pontos', 'vencedores': 823, 'premio': '60,37'}, {'acertos': '3 Pontos', 'vencedores': 7296, 'premio': '5,00'}]"
44,"{'loteria': 'super-sete', 'concurso': 45}","['1', '7', '1', '7', '9', '4', '7']","[{'acertos': '7 Pontos', 'vencedores': 0, 'premio': '-'}, {'acertos': '6 Pontos', 'vencedores': 2, 'premio': '13.895,16'}, {'acertos': '5 Pontos', 'vencedores': 58, 'premio': '684,49'}, {'acertos': '4 Pontos', 'vencedores': 834, 'premio': '47,60'}, {'acertos': '3 Pontos', 'vencedores': 7794, 'premio': '5,00'}]"
45,"{'loteria': 'super-sete', 'concurso': 46}","['9', '3', '7', '3', '6', '5', '2']","[{'acertos': '7 Pontos', 'vencedores': 0, 'premio': '-'}, {'acertos': '6 Pontos', 'vencedores': 1, 'premio': '32.270,39'}, {'acertos': '5 Pontos', 'vencedores': 47, 'premio': '980,86'}, {'acertos': '4 Pontos', 'vencedores': 856, 'premio': '53,85'}, {'acertos': '3 Pontos', 'vencedores': 7181, 'premio': '5,00'}]"
46,"{'loteria': 'super-sete', 'concurso': 47}","['7', '9', '8', '0', '0', '8', '1']","[{'acertos': '7 Pontos', 'vencedores': 0, 'premio': '-'}, {'acertos': '6 Pontos', 'vencedores': 1, 'premio': '31.183,48'}, {'acertos': '5 Pontos', 'vencedores': 44, 'premio': '1.012,45'}, {'acertos': '4 Pontos', 'vencedores': 591, 'premio': '75,37'}, {'acertos': '3 Pontos', 'vencedores': 5743, 'premio': '5,00'}]"
47,"{'loteria': 'super-sete', 'concurso': 48}","['4', '0', '3', '0', '7', '9', '1']","[{'acertos': '7 Pontos', 'vencedores': 0, 'premio': '-'}, {'acertos': '6 Pontos', 'vencedores': 2, 'premio': '16.104,86'}, {'acertos': '5 Pontos', 'vencedores': 42, 'premio': '1.095,56'}, {'acertos': '4 Pontos', 'vencedores': 676, 'premio': '68,06'}, {'acertos': '3 Pontos', 'vencedores': 6531, 'premio': '5,00'}]"
